Market Name,Address Line 1,City,Zip,Market Link,Operation Hours,Operation Season,Latitude,Longitude
Voorheesville Farmers' Market,68 Maple Ave,Voorheesville,12186,https://www.facebook.com/VoorheesvilleFarmersMarket,Wed  3:30pm-6:30pm,June 15-September 28,42.64892,-73.92991
Alfred Farmers' Market,Main Street and Saxon Drive,Alfred,14802,http://www.alfredfarmersmarket.com,Sunday  11am-3pm,July-October,42.25396,-77.7904
Angelica Farmers' Market,28 Park Circle,Angelica,14709,,Saturday  9am-1pm,June 1-September 24,42.3066,-78.01619
Belmont Farmers' Market,32 Willets Ave,Belmont,14813,,Thursday  11am-5pm,May 26-October 27,42.22613,-78.03994
Houghton Farmers' Market,1 Willard Ave,Houghton,14744,,Friday  1pm-6pm,June 3-October 28,42.42556,-78.15706
On the River Farm Stand,7579 Route 19,Belfast,14711,,"Friday  3pm-7pm, Saturday  12pm-7pm",Year-round,42.34485,-78.11563
Wellsville Farmers' Market,44 Park Ave.,Wellsville,14895,,Thursday  11am-5pm,June 16-October 6,42.120079,-77.947159
Bissel Gardens Farmers' Market,Baychester Ave and East 241st St,Bronx,10470,http://www.bisselgardens.org,Sat/Wed  9am-5pm,July 9-November 19,40.90151,-73.84702
Bronx Borough Hall Greenmarket,901 Grand Concourse,Bronx,10452,http://www.grownyc.org/greenmarket,Tuesday  8am-4pm,June 7-November 22,40.82715,-73.92276
Harvest Home Bronx Museum Farmers' Market,1040 Grand Concourse,Bronx,10456,http://www.harvesthomefm.org,Sunday  8am-4pm,July 10-November 20,40.83113,-73.9201
Harvest Home Co-op City Farmers' Market,199 Aldrich St.,Bronx,10475,http://www.harvesthomefm.org,Wednesday  8am-4pm,July 6-November 23,40.87025,-73.83097
Harvest Home Hunts Point Farmers' Market,925 Hunts Point Ave.,Bronx,10474,http://www.harvesthomefm.org,Wednesday  8am-4pm,June 15-November 23,40.82073,-73.89088
Harvest Home Jacobi  Hospital Farmers' Market,1400 Pelham Pkwy,Bronx,10461,http://www.harvesthomefm.org,Tue/Fri  8am-4pm,May 10-November 22,40.85431,-73.8467
Harvest Home Mt. Eden Farmers' Market,Mt Eden Pkwy and Morris Ave,Bronx,10457,http://www.harvesthomefm.org,Tue/Thu  8am-4pm,May 24-November 23,40.84305,-73.90947
Fredonia Farmers' Market,11 Church St,Fredonia,14063,,Saturday  9am-1pm,May 21-October 29,42.44064,-79.33235
Harvest Home N Central Bronx Farmers' Market,Jerome Ave and East Mosholu Pkwy North,Bronx,10467,http://www.harvesthomefm.org,Wednesday  8am-4pm,July 6-November 23,40.88046,-73.88385
Harvest Home Soundview Farmers' Market,Morrison Ave and Harrod Place,Bronx,10472,http://www.harvesthomefm.org,Saturday  8am-4pm,June 18-November 19,40.82905,-73.87443
Harvest Home St. Marys Park Farmers' Market,646 E 149th St,Bronx,10455,http://www.harvesthomefm.org,Thursday  8am-4pm,July 7-November 17,40.81099,-73.91173
Healthy Choice Farmers' Market,1434 Longfellow Ave.,Bronx,10459,,Thursday  10am-1:30pm,April 7-November 17,40.830746,-73.886882
La Familia Verde Farmers' Market,East Tremont Ave and Arthur Ave,Bronx,10457,http://www.lafamiliaverde.org,Tuesday  8am-3pm,July 12-November 15,40.84643,-73.89334
"Learn it, Grow it, Eat it Youthmarket",E. 169th St. and Boston Rd.,Bronx,10456,http://www.grownyc.org/youthmarket,Wednesday  10am-3pm,July 6-November 23,40.83121,-73.90022
Lincoln Hospital Greenmarket,East 149th St and Morris Ave,Bronx,10451,http://www.grownyc.org/greenmarket,Fri/Tue  8am-3pm,June 24-November 22,40.81739,-73.92274
Mott Haven Farmers' Market,E. 139th & 283 St. Saint Anns Ave,Bronx,10454,,Tuesday  10am-4pm,July 12-November 15,40.80782,-73.91697
New York Botanical Garden Greenmarket,2855 Southern Blvd,Bronx,10458,http://www.grownyc.org/greenmarket,Wednesday  9am-3pm,June 22-October 26,40.866408,-73.882303
Norwood Youthmarket,Dekalb Ave. and East Gun Hill Rd.,Bronx,10467,http://www.grownyc.org/youthmarket,Thursday  12pm-7pm,July 7-November 17,40.88223,-73.88048
Parkchester Greenmarket,Westchester Ave and White Plains Rd,Bronx,10472,http://www.grownyc.org/greenmarket,Friday  8am-4pm,June 10-November 18,40.83301,-73.86277
Poe Park Greenmarket,200 E. 192nd St,Bronx,10458,http://www.grownyc.org/greenmarket,Tuesday  8am-3pm,June 28-November 22,40.86412,-73.8955
Project EATS Montefiore WFC Farm Stand,3011 Boston Rd.,BRONX,10469,http://www.projecteats.org,Wednesday  2pm-6pm,May 31-November 30,40.8697,-73.85733
PS 721X Farm Stand,2697 Westchester Av.,Bronx,10461,,Thursday  9:30am-1pm,May 12-October 27,40.84248,-73.83865
Riverdale Neighborhood House Youthmarket,W 256th St. and Mosholu Ave.,Bronx,10466,http://www.grownyc.org/youthmarket,Thursday  1pm-7pm,July 7-October 27,40.90388,-73.90313
Riverdale Y Sunday Farmers' Market,649 W 237th St,Bronx,10463,http://www.riverdaley.org,Sunday  9am-2pm,May-November,40.888442,-73.912784
South Bronx Farmers' Market,330-398 East 138th Street,Bronx,10454,http://www.southbronxfarmersmarket.com,Saturday  10am-4pm,June 18-November 19,40.80913,-73.92297
Taqwa Community Farmers' Market,90 West Ogden Ave. at 164th St.,Bronx,10452,,Saturday  9am-4pm,July 9-November 12,40.82957,-73.92104
Wholesale Greenmarket,Halleck Street and Viele Avenue,Bronx,10474,,Tue-Sat  2am-8am,April 8-December 31,40.80752,-73.87989
Broome County Regional Saturday Farmers' Market,840 Upper Front St.,Binghamton,13905,http://www.bcregionalmkt.com,Saturday  9am-1pm,Year-round,42.12921,-75.90609
Broome County Regional Tuesday Farmers' Market,840 Upper Front St.,Binghamton,13905,http://www.bcregionalmkt.com,Tuesday  4pm-7pm,July 19-October 25,42.12921,-75.90609
CHOWbus Mobile Market,3 Otsiningo Street,Binghamton,13903,http://www.broomecouncil.net,"Mon-Fri (May thru Oct), Mon-Wed (Nov thru April)",Year-round,42.09963,-75.89718
Deposit Farmers' Market,107 Second St,Deposit,13754,http://www.ccedelaware.org,Thursday  10am-2pm,Only Aug 18 & Sep 15,42.06166,-75.42605
Downtown Binghamton Farmers' Market,80 Collier St,Binghamton,13901,http://www.binghamtonfarmersmarket.com,Tue/Fri  9am-2pm,June 10-October 28,42.09836,-75.91157
Endicott Visitor Center Farmers' Market,300 Lincoln Ave.,Endicott,13760,http://www.endicottny.com,Thursday  4:30pm-7pm,June 2-October 13,42.09805,-76.05142
Koo Koose Farmers' Market,149 Front Street,Deposit,13754,,Saturday  9am-1pm,June-September,42.061003,-75.425572
Vestal Farmers' Market,320 Vestal Pkwy E,Vestal,13850,https://www.facebook.com/VestalFarmersMarket,Sat/Wed  9am-1pm,May 28-November 23,42.087322,-76.045678
Canaseraga Farmers' Market,4-8 Main Street,Canaseraga,14822,,Saturday 9am-2pm,June-October,42.46131,-77.77724
Canticle Farm Stand,3809 Old State Road,Allegany,14706,http://www.canticlefarm.org,"Tue & Fri  2pm-6pm, Tue only Dec-June 14",June 14-November 22,42.094426,-78.506766
Franklinville Farmers' Market,13 Park Sq,Franklinville,14737,,Wednesday  3pm-6pm,June 15-October 26,42.33772,-78.45771
Miller's Farm Market,1685 Olean Portville Rd.,Olean,14760,,"Mon-Sat  9am-6pm, Sunday  9am-5pm",April 14-December 24,42.071439,-78.39814
Olean Southern Tier Farmers' Market,1900 Constitution Ave,Olean,14760,,Friday  2pm-6pm,May 20-October 28,42.08294,-78.45503
R.E.A.P. Olean Farmers' Market,400 N. Union St.,Olean,14760,https://www.facebook.com/olean.farmers.market/,Saturday  8am-1pm,May 14-October 29,42.08329,-78.42987
Salamanca Farmers' Market,12 Park Ave,Salamanca,14779,,Tuesday  11am-5pm,May 24-October 25,42.15497,-78.71739
South Dayton Farmers' Market,Rt 322 and Park st.,South Dayton,14138,https://www.facebook.com/pages/South-Dayton-Farmers-Market/1662449950658252,Saturday  9am-1pm,June 18-October 15,42.3609,-79.04925
Auburn Farmers' Market,96 State Street,Auburn,13021,http://www.auburnfarmerscoopmarketinc.com,Tue/Thu/Sat  7am-2pm,June 2-October 29,42.93406,-76.56985
Moravia Farmers' Market,130 Main St,Moravia,13118,,Thursday  10am-5pm,June 9-October 27,42.71209,-76.42079
Village of Aurora Farmers' Market,State Route 90 and Poplar Ridge Road,Aurora,13026,http://www.auroranyfarmersmarket.com,Saturday  9am-1pm,June 4-October 29,42.73862,-76.70211
Abers Acres Farm Stand,884 Rte. 394,Kennedy,14747,http://www.abersacres.com/,"Daily Jun-Oct 9-6:30, Daily Nov-May 10-4",Year-round,42.14495,-79.10996
Anderson's Produce Farm Stand,3058 Terry Road,Sinclairville,14782,,Daily  10am-6pm,July 25-October 15,42.231548,-79.255691
Downtown Jamestown Farmers' Market,Cherry and West 2nd St,Jamestown,14701,http://www.jamestownrenaissance.org,"Thurs  12pm-6pm, Sept/Oct 12pm-4pm",June 2-October 27,42.09567,-79.24234
Dunkirk Farmers' Market,45 Cliffstar Avenue,Dunkirk,14048,http://www.dunkirktoday.com/things-to-do/community-gardens,Wednesday  9am-2pm,June 15-September 28,42.48555,-79.32285
Falconer Farmers' Market,W Main St and Homestead St,Falconer,14733,,Saturday  9am-2pm,June 4-October 29,42.11763,-79.19952
Fredonia WINTER Farmers' Market,321 East Main St. (Rte 20),Fredonia,14063,http://www.facebook.com/FredoniaFarmersMarket,Saturday 10am-1pm,November 5-May 13,42.44764,-79.315
Hathaway Farms Farm Stand,9595 East Main Road Route 20,Ripley,14775,,"Mon-Sat  10am-6pm, Sunday  12pm-6pm",June 1-November 1,42.28014,-79.68442
Lakewood Farmers' Market,Chautauqua Ave and West Second St,Lakewood,14750,http://www.lakewoodny.com,Tuesday  1pm-5pm,June 7-August 30,42.10189,-79.3262
Richard Feinen Farms Farm Stand,3251 Route 39,Forestville,14062,,Daily 10am-6pm,June 1-November 31,42.46786,-79.27186
Roberto Fred Farm Stand,10655 Temple Rd,Dunkirk,14048,,Daily 9am-6pm,June-December,42.464201,-79.361694
Westfield Farmers' Market,Rt 20 and Rt 394,Westfield,14787,http://www.westfieldny.com/farmers-market,Saturday  9am-2pm,May 28-September 24,42.32203,-79.57812
Elmira Eastside Farmers' Market,760 East Water St,Elmira,14901,http://www.ccechemung.org,Friday  2:30pm-6pm,June 10-October 21,42.08905,-76.7922
Elmira Wisner Park Farmers' Market,200 N Main St,Elmira,14901,http://www.wisnermarket.org,Thursday  10am-2pm,June 21-September 29,42.08943,-76.80801
Grove Park Farmers' Market,Walnut Ave and West 4th St,Elmira,14901,https://www.facebook.com/GroveParkFarmersMarket,Monday  3pm-6pm,June 6-October 30,42.0921,-76.82013
Teal Park Farmers' Market,S. Main and Steuben St.,Horseheads,14845,,Saturday  10am-1pm,June 25-September 24,42.16417,-76.81919
Coventry Farmers' Market,1839 NY-235,Greene,13778,http://townofcoventryny.com,"Sunday  12pm-4pm , Thursday  11am-4pm",June 30-October 20,42.291625,-75.640573
Norwich Farmers' Market,2 North Broad St.,Norwich,13815,https://www.facebook.com/NorwichNYFarmersMarket,Wed  10am-6pm,Year-round,42.53136,-75.52262
Oxford Farmers' Market,Lafayette Park,Oxford,13830,https://www.facebook.com/OxfordNYFarmersMarket,"Saturday 9am-12pm, Wednesdays 11am-1pm",May-October,42.44255,-75.5983
Oxford WINTER Farmers' Market,34 Main St.,Oxford,13830,https://www.facebook.com/OxfordNYFarmersMarket,1st Saturday  10am-1pm,November-April,42.440234,-75.594121
Country Dreams Farm Farm Stand,260 Pellerin Rd.,Plattsburgh,12901,http://www.countrydreamsfarm.com,Daily  8am-5pm,July 1-October 31,44.74671,-73.53235
Keeseville Farmers' Market,1721 Front St,Keeseville,12944,http://www.adirondackfarmersmarket.com,Tuesday  10am-2pm,June 21-August 30,44.50436,-73.48061
Northern Orchard Farm Stand,470 Union Road,Peru,12972,,Daily  10am-6pm,May 1-December 23,44.55639,-73.53716
Plattsburgh Farmers' & Crafters Market,Broad St and Durkee St,Plattsburgh,12901,https://www.facebook.com/pages/Plattsburgh-Farmers-and-Crafters-Market/121588034547095,"Saturday  9am-2pm, June 29 - Oct 5, Wed  10am-2pm",May 7-October 8,44.69535,-73.45226
Rehoboth Homestead Farm Stand,3071 Route 9,Peru,12972,http://www.rhomestead.com,Tuesday  3pm-6pm,June 1-October 30,44.56491,-73.44945
Rouses Point Farmers' Market,144 Lake Street,Rouses Point,12979,,Friday  3pm-7pm,June 24-September 2,44.99029,-73.36438
Shield's Vegetables / Dyer Farms,6303 State Route 22,Plattsburgh,12901,,Daily  10am-6pm,July 16-October 31,44.73789,-73.47064
City of Hudson Farmers' Market,Columbia St and North 6th St,Hudson,12534,http://www.hudsonfarmersmarketny.com,Saturday  9am-1pm,May 7-November 19,42.24866,-73.78369
Copake Hillsdale Farmers' Market,9140 Route 22,Hillsdale,12529,http://www.copakehillsdalefarmersmarket.com,Saturday  9am-1pm,May 28-October 29,42.17077,-73.51771
Kinderhook Farmers' Market,US Route 9 and Hudson St,Kinderhook,12106,http://www.kinderhookfarmersmarket.com,Sat  8:30am-12:30pm,May 7-October 8,42.3954,-73.69817
New Lebanon Country Farmers' Market,36 Old Route 20,New Lebanon,12125,http://www.facebook.com/newlebanoncountrymarket,Sunday  10am-2pm,June 5-October 16,42.47165,-73.37991
Philmont Farmers' Market,116 Main St,Philmont,12565,http://www.pbinc.org/revitalization,Sunday  10am-2pm,May 29-October 16,42.24868,-73.65097
Upstreet Farmers' Market,7th Street Park,Hudson,12534,http://facebook.com/upstreetmarket,Wednesday  4pm-7pm,May 25-October 26,42.24744,-73.78299
Cincinnatus Farmers' Market,2704 Lower Cincinnatus Rd,Cincinnatus,13040,,Saturday  9am-12pm,May 1-November 30,42.53812,-75.89662
City of Cortland Farmers' Market,Main St and Orchard St,Cortland,13045,,Tue/Sat  8am-2pm,May 24 -October 29,42.60028,-76.18044
Dave's Veggies Farm Market,5178 NY-41,Homer,13077,http://www.davesveggies.com,"Mon-Sat  10am-7pm, Sunday 10am-6pm",May 1-October 31,42.659118,-76.203042
Homer Farmers' Market,South Main St and Central Park Pl,Homer,13077,,"Saturday  9am-1pm, Wed  4pm-7pm",May7-October 29,42.63595,-76.17869
Virgil Farmers' Market,Route 215 and Route 392,Virgil,13045,,Saturday  9am-12pm,June 18-October 8,42.51057,-76.19472
Catskill Cattle Farm Stand,96 Laurel Bank Ave,Deposit,13754,http://www.catskillcattle.com,Sun-Sat  8am-8pm,May 1-October 31,42.07063,-75.40936
Delhi Farmers' Market,Main St and Court St,Delhi,13753,,Wednesdays,June 1-September 28,42.27792,-74.91652
Franklin Farmers' Market,25 Institute St.,Franklin,13775,,Sunday  10am-2pm,May 29-October 9,42.33901,-75.1672
Hobart Farmers' Market,101 Maple Ave,Hobart,12167,https://www.facebook.com/HobartFarmersMarket/,Friday  4pm-7pm,June 3-September 30,42.37016,-74.66867
Pakatakan Farmers' Market,46676 State Route 30,Halcottsville,12438,http://roundbarnmarket.org,Saturday  9am-2pm,May 14-October 8,42.20003,-74.596774
RambleBramble Farm Stand,56508 NY-10,South Kortright,13842,http://www.ramblefarm.com,Mon-Thu  9am-7pm,May 27-October 31,42.34342,-74.724
Sidney Farmers' Market,89 Main St,Sidney,13838,http://www.ccedelaware.org,"Tuesday  2pm-6pm, (4th Tue of Month 10a-6p)",June 28-August 30,42.31426,-75.39045
Walton Farmers' Market,2 Titus Place,Walton,13856,http://www.ccedelaware.org,1st & 3rd Wed 10-2,July 6-October 19,42.16464,-75.12792
Amenia Farmers' Market,4974 Route 22,Amenia,12501,http://www.ameniafarmersmarket.com,Fridays  3pm-7pm,May-October,41.851201,-73.555719
Arlington Farmers' Market,123 Raymond Ave,Poughkeepsie,12603,http://www.arlingtonhasit.org,Thursday  3pm-7pm,June 2-October 27,41.68187,-73.89636
Beacon Farmers' Market,55 Red Flynn Dr,Beacon,12508,,Sunday  10am-3pm,April 24-November 20,41.50576,-73.9854
Dykeman Farm Farm Stand,31 Dykeman Lane,Pawling,12564,http://www.bestcorn.com,Daily  10am-6pm,July 1-November 1,41.62739,-73.60795
Hyde Park Farmers' Market,4390 Route 9,Hyde Park,12538,http://www.hydeparkfarmersmarket.org,Saturday  9am-2pm,June 4-October 29,41.7913,-73.93615
Millbrook Farmers' Market,Front St. and Franklin Ave.,Millbrook,12545,http://www.millbrooknyfarmersmarket.com/,Saturday  9am - 1pm,May 28-October 29,41.78321,-73.69651
Millerton Farmers' Market,12 Main Street,Millerton,12546,http://www.millertonfarmersmarket.org,Saturday  9am-1pm,May 21-October 29,41.95333,-73.511632
Millerton WINTER Farmers' Market,6 Dutchess Ave.,Millerton,12546,http://www.millertonfarmersmarket.org/,Saturday 10am-2pm,Jan-April,41.954262,-73.509537
Pawling Farmers' Market,154 Charles Colman Blvd.,Pawling,12564,http://www.pawlingfarmersmarket.org,Saturday  9am-1pm,June 18-October 1,41.56315,-73.60143
Poughkeepsie Plenty Fresh Interfaith Towers,66 Washington Street,Poughkeepsie,12601,http://www.dutchessoutreach.org/ppm,Thursday  11:30am-1pm,June 9-October 20,41.70773,-73.92935
Poughkeepsie Plenty Fresh Maplewood,457 Maple St.,Poughkeepsie,12601,http://www.dutchessoutreach.org/ppm,Wednesday  2pm-3pm,June 8-October 19,41.70012,-73.91199
Poughkeepsie Plenty Fresh Market,29 N Hamilton Street,Poughkeepsie,12601,http://www.dutchessoutreach.org/ppm,Wednesday  11:30am-1pm,June 8-October 19,41.70459,-73.92197
Poughkeepsie Plenty Fresh Soldier's Fountain,Little Market and Montgomery st,Poughkeepsie,12601,http://www.dutchessoutreach.org/ppm,Thursday  2pm-3:30pm,June 9-October 20,41.6995,-73.93151
Rhinebeck Farmers' Market,61 East Market St,Rhinebeck,12572,http://www.rhinebeckfarmersmarket.com,Sunday  10am-2pm,May 8-November 20,41.92738,-73.91021
Rhinebeck WINTER Farmers' Market,80 E. Market St,Rhinebeck,12572,http://www.rhinebeckfarmersmarket.com,Alt. Sundays  10am-2pm,December 4-April 23,41.926894,-73.908946
Share the Bounty Farm Stand,3360 Route 343,Amenia,12501,,Tuesday  9am-4pm,June 7-November 1,41.85035,-73.55065
Village of Fishkill Farmers' Market,1004 Main St,Fishkill,12524,http://www.vofishkill.us,Thursday  9am-3pm,May 26-October 27,41.53212,-73.90574
5 Loaves Farm Stand,1172 West Ave,Buffalo,14213,http://5loavesfarm.blogspot.com,Saturday  10am-1pm,May 7-October 30,42.9222,-78.8965
Alden Farmers' Market,13119 Broadway,Alden,14004,http://www.aldenny.org,Saturday  8:30am-1pm,May 14-October 15,42.89784,-78.49904
Blasdell Farmers' Market,4271 Lake Ave,Hamburg,14219,http://www.hamburg-chamber.org,Wednesday  9am-2pm,May 18-September 28,42.79704,-78.81905
Bowman Farms Farm stand,11259 Gowanda State Rd.,North Collins,14111,http://www.bowmanfarmsinc.com,Daily  9am-5:30pm,June-October,42.574596,-78.93425
Broadway Farmers' Market,999 Broadway,Buffalo,14212,http://www.bensidoun.com,Wed/Thu/Fri  8am-5pm,May 4-November 23,42.893162,-78.837667
Clarence Hollow Farmers' Market,10717 Main St,Clarence,14031,http://www.clarencefarmersmarket.com,Saturday  8am-1pm,June 4-October 29,42.9808,-78.58904
Clinton Bailey Farmers' Market,Bailey Ave and Clinton St,Buffalo,14206,http://www.clintonbaileymarket.com,"Sat 6am-6pm  , (Sat Nov-April 6am-12pm) , Sun 7am-2pm , Mon-Fri  7am-5pm",Year-round,42.87205,-78.81998
Common Roots Urban Farm Stand,309 Peckham St,Buffalo,14206,,Saturday 10am-1pm,June 11-September 24,42.88783,-78.84284
Curbside Market - 400 Towers,400 East Main St.,Batavia,14020,,Monday 11am-11:40am,July-November,42.99659,-78.17634
Downtown Buffalo Country Market,344 Main Street,Buffalo,14202,http://www.buffaloplace.com,Tue/Thu  8am-2:30pm,May 12-October 27,42.88418,-78.87491
East Aurora Farmers' Market,123 Grey St,East Aurora,14052,http://facebook.com/EastAuroraFarmersMarket,Sat/Wed  7am-1pm,May 7-November 23,42.76593,-78.63413
Elmwood Village Farmers' Market,Elmwood Ave and Bidwell Pkwy,Buffalo,14222,http://www.elmwoodmarket.org,Saturday  8am-1pm,May 7-November 26,42.92371,-78.87702
Elmwood Village WINTER Market,Elmwood Ave.,Buffalo,14213,http://www.elmwoodmarket.org,Saturday  10am-2pm,December 5-April 30,42.95691,-78.87836
Farm 2 Preschool Kenmore Ave Farmers' Market,500 Kenmore Ave,Buffalo,14223,,Tuesday  3pm-6pm,June 7-October 11,42.95796,-78.83643
Grider Street Farmers' Market,351 Grider St,Buffalo,14215,,Friday  10am-2pm,June 3-September 30,42.924297,-78.828694
Hamburg Farmers' Market,30 Buffalo St,Hamburg,14075,http://www.hamburg-chamber.org,Saturday  7:30am-1pm,May 7-October 29,42.71677,-78.82994
Holland Farmers' Market,25 North Main St,Holland,14080,http://www.thehollandmkt.com,Sunday  8:30am-1pm,May 1-October 30,42.64149,-78.54248
Kenmore Farmers' Market,2919 Delaware Ave,Buffalo,14217,,Saturday  8am-12:30pm,June 18-October 29,42.96362,-78.8698
Lancaster Sunday Farmers' Market,4913 Transit Rd.,Buffalo,14221,http://www.lancastervillagemarket.com,Sunday  9am-2pm,May 1-Octobter 30,42.98538,-78.69692
MAP ELIM Mobile Market,70 Chalmers Avenue,Buffalo,14214,http://www.mass-ave.org,Thursday  4pm-6pm,June 9-October 27,42.93819,-78.8358
MAP Farm Stand,389 Massachusetts Ave.,Buffalo,14213,http://www.mass-ave.org,Tuesday  4pm-6pm,June 7-October 25,42.9128,-78.88774
MAP Gerard Place Mobile Market,2515 Bailey Ave,Buffalo,14215,http://www.mass-ave.org,Wednesday  11am-1pm,June 8-October 26,42.92323,-78.81325
MAP Mulberry Street Block Club,292 High Street,Buffalo,14204,http://www.mass-ave.org,Thursday 11am-1pm,June 9-October 27,42.90029,-78.85812
MAP Salvation Army Mobile Market,960 Main Street,Buffalo,14202,http://www.mass-ave.org,Friday  11am-1pm,June 10-October 28,42.90008,-78.87024
MAP West Side Community Service,161 Vermont St,Buffalo,14213,http://www.mass-ave.org,"Monthly, first Wed , 4pm-6pm","July 6, Aug 3, Sept 7, Oct 5",42.90547,-78.89222
North Buffalo Farmers' Market,85 Dakota St.,Buffalo,14216,http://www.northbuffalo.org,Thursday  3pm-7pm,June 2-October 27,42.94668,-78.86602
Orchard Park at Fox Run Farmers' Market,One Fox Run Lane,Orchard Park,14127,https://www.facebook.com/pages/Orchard-Park-Farmers-Market-at-Fox-Run/199492926762050,Thursday  9am-1:30pm,May 26-October 27,42.76345,-78.77619
Seneca Nation Farmers' Market,11150 US-20,Irving,14081,http://www.foodisourmedicine.org,Tuesday  10am-3pm,May 17-October 18,42.57931,-79.07662
Springville Farmers' Market,341 West Main St,Springville,14141,,Wednesday  7am-3pm,Year-round,42.50906,-78.67989
